route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
5292,6af13854-a9a8-45fa-a7fc-c6014af2a653,00,ORBT,ORBT,3,E87722,000000
5316,6af13854-a9a8-45fa-a7fc-c6014af2a653,94,West Center Express,West Center Express,3,231F20,FFFFFF
5305,6af13854-a9a8-45fa-a7fc-c6014af2a653,35,North 33rd Street,North 33rd Street,3,B6006D,FFFFFF
5303,6af13854-a9a8-45fa-a7fc-c6014af2a653,3,North 40th / South 42nd,North 40th / South 42nd,3,007DBA,000000
5294,6af13854-a9a8-45fa-a7fc-c6014af2a653,11,Leavenworth Street,Leavenworth Street,3,9053A1,000000
5300,6af13854-a9a8-45fa-a7fc-c6014af2a653,200,Green Route / Downtown,Green Route / Downtown,3,00A14B,000000
5318,6af13854-a9a8-45fa-a7fc-c6014af2a653,97,Millard Express,Millard Express,3,231F20,FFFFFF
5308,6af13854-a9a8-45fa-a7fc-c6014af2a653,41,Blue Route / Council Bluffs,Blue Route / Council Bluffs,3,007DBA,000000
5301,6af13854-a9a8-45fa-a7fc-c6014af2a653,24,24th Street,24th Street,3,ED1C24,000000
5317,6af13854-a9a8-45fa-a7fc-c6014af2a653,95,Bellevue Express,Bellevue Express,3,231F20,FFFFFF
5304,6af13854-a9a8-45fa-a7fc-c6014af2a653,30,30th Street,30th Street,3,808285,000000
5298,6af13854-a9a8-45fa-a7fc-c6014af2a653,15,Center Street,Center Street,3,243C96,FFFFFF
5302,6af13854-a9a8-45fa-a7fc-c6014af2a653,26,North Omaha,North Omaha,3,84BD00,000000
5311,6af13854-a9a8-45fa-a7fc-c6014af2a653,55,Q Street,Q Street,3,EC008C,000000
5297,6af13854-a9a8-45fa-a7fc-c6014af2a653,14,108th / Fort,108th / Fort,3,F05674,000000
5293,6af13854-a9a8-45fa-a7fc-c6014af2a653,106,Eppley Connector,Eppley Connector,3,00B398,000000
5295,6af13854-a9a8-45fa-a7fc-c6014af2a653,120,North Park Connector,North Park Connector,3,00B398,000000
5296,6af13854-a9a8-45fa-a7fc-c6014af2a653,13,13th / L Street,13th / L Street,3,076C2B,FFFFFF
5315,6af13854-a9a8-45fa-a7fc-c6014af2a653,93,South 84th  Express,South 84th  Express,3,231F20,FFFFFF
5309,6af13854-a9a8-45fa-a7fc-c6014af2a653,43,Yellow Route / Council Bluffs,Yellow Route / Council Bluffs,3,FFDE17,000000
5307,6af13854-a9a8-45fa-a7fc-c6014af2a653,4,Maple Street,Maple Street,3,752B90,000000
5306,6af13854-a9a8-45fa-a7fc-c6014af2a653,36,South Omaha,South Omaha,3,00B3DF,000000
5314,6af13854-a9a8-45fa-a7fc-c6014af2a653,92,Dodge Express,Dodge Express,3,231F20,FFFFFF
5310,6af13854-a9a8-45fa-a7fc-c6014af2a653,5,90th Street,90th Street,3,FBAD18,000000
5299,6af13854-a9a8-45fa-a7fc-c6014af2a653,18,72nd / Ames Avenue,72nd / Ames Avenue,3,A9112C,FFFFFF
5313,6af13854-a9a8-45fa-a7fc-c6014af2a653,8,60th / Blondo Street,60th / Blondo Street,3,00747B,000000
